TAG	NAME				SMILES
24S	24-S-Hydroxycholesterol		CC(C)[C@@H](O)CC[C@@H](C)[C@H]3CCC4C2CC=C1C[C@@H](O)CC[C@]1(C)C2CC[C@]34C
27H	27-Hydroxycholesterol		CC(CO)CCC[C@@H](C)[C@H]3CCC4C2CC=C1C[C@@H](O)CC[C@]1(C)C2CC[C@]34C

SER	Serotonin			C1=CC2=C(C=C1O)C(=CN2)CCN

#MFA	Mefenamic			Cc2cccc(Nc1ccccc1C(=O)O)c2C
#FUA	Flufenamic			O=C(O)c1ccccc1Nc2cccc(C(F)(F)F)c2
#BOR	Borneol				CC1(C2CCC1(C(C2)O)C)C
#IBO	Isoborneol			C[C@@]12CC[C@@H](C1(C)C)C[C@H]2O
#SUL	Sulfon				C(S(=O)(=O)CCO)C1CCC2CC1C2(C)C
#SLF	SulfonNa			C1[C@]2([C@@H](C[C@@H](C1)C2(C)C)SCC(=O)O[Na])C

CER	Ceritinib			CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
IMA	Imatinib			CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5
RUX	Ruxolitinib			C1CCC(C1)[C@@H](CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3
LEN	Lenvatinib			COC1=CC2=NC=CC(=C2C=C1C(=O)N)OC3=CC(=C(C=C3)NC(=O)NC4CC4)Cl
SUN	Sunitinib			CCN(CC)CCNC(=O)C1=C(C)NC(\C=C2/C(=O)NC3=C2C=C(F)C=C3)=C1C
IDE	Idelalisib			CC[C@@H](C1=NC2=C(C(=CC=C2)F)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5
ERL	Erlotinib			COCCOC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=CC(=C3)C#C)OCCOC

REM	Remdesivir			CCC(CC)COC(=O)C(C)NP(=O)(OCC1C(C(C(O1)(C#N)C2=CC=C3N2N=CN=C3N)O)O)OC4=CC=CC=C4
FAV	Favipiravir			C1=C(N=C(C(=O)N1)C(=O)N)F

ATR	Nevanimibe			CC(C)c1cccc(C(C)C)c1NC(=O)NCC3(c2ccc(N(C)C)cc2)CCCC3

PSM	N-Palmitoylsphingomyelin	CCCCCCCCCCCCCCCC(=O)NC(COP(=O)([O-])OCC[N+](C)(C)C)C(C=CCCCCCCCCCCCCC)O
---cont here
#ARI	Aripiprazole			C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
PIT	Pitavastatin			C1CC1C2=NC3=CC=CC=C3C(=C2C=CC(CC(CC(=O)O)O)O)C4=CC=C(C=C4)F

TRB	2-Triazolyl-2-deoxyuridines-B	CCCCCCCCCCCO[C@H]4CC[C@@]1(C)C(=CCC2C1CC[C@]3(C)C([C@H](C)CCCC(C)C)CCC23)C4
TRC	2-Triazolyl-2-deoxyuridines-C	CCCCCCCCCCOCOCOCOCCO[C@H]4CC[C@@]1(C)C(=CCC2C1CC[C@]3(C)C([C@H](C)CCCC(C)C)CCC23)C4

FLU	Fluphenazin			C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO
UDC	Ursodesoxycholsäure		CC(CCC(=O)O)C1CCC2C1(CCC3C2C(CC4C3(CCC(C4)O)C)O)C
IBU	Ibuprofen			CC(C)CC1=CC=C(C=C1)C(C)C(=O)O
ASS	Aspirin				CC(=O)OC1=CC=CC=C1C(=O)O
NAT	Natamycin			CC1CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC3C(O3)C=CC(=O)O1)O)O)O)C(=O)O)OC4C(C(C(C(O4)C)O)N)O
#DPC	DPPC				CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC

C6C	C6-NBD-PC			CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCNc1ccc([N+](=O)O)c2nonc12
C1C	C12-NBD-PC			CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCNc1ccc([N+](=O)O)c2nonc12

CHA	Cholestratrienol		CC(C)CCC[C@@H](C)C4CCC3C2=CC=C1C[C@@H](O)CC[C@]1(C)C2=CC[C@@]34C
DOX	25-Doxyl-Cholesterol		C[C@H](CCCC1(C)OCC(C)(C)N1[O-])C4CCC5C3CC=C2C[C@@H](O)CC[C@]2(C)C3CC[C@]45C
TOP	TopFluor-Cholesterol		Cc1cc(C)n7c1C(CC[C@@H](C)C4CCC5C3CC=C2C[C@@H](O)CC[C@]2(C)C3CCC45)=c6c(C)cc(C)[n+]6[B-]7(F)F
---TOP MISSING
AMI	N-Palmitoylsphingosine		CCCCCCCCCCCCCCCC(=O)NC(CO)C(C=CCCCCCCCCCCCCC)O
FFA	FFA-C16/Palmitic acid		CCCCCCCCCCCCCCCC(=O)O	
